,0,1,2,3,4,5
85,177,Luhman 16B,6.516,0.041047283999999996,0.10481826,1024.6782379282668
86,178,Luhman 16A,6.516,0.03818352,0.10379063,972.157530146902
87,179,DENIS-P J1058.7âˆ’1548,49.0,0.061093632,0.102763,1586.7166344045677
88,183,2MASS J11145133âˆ’2618235,18.2,0.031501404,0.09865248,887.7503956324381
89,186,2MASSW J1155395-372735Â [de],31.0,0.061093632,0.102763,1586.7166344045677
90,188,2MASSI J1217110-031113Â [de],36.0,0.040092696000000004,0.09659722,1178.4549471797168
91,189,2M 1237+6526,45.6,0.039138108,0.09659722,1150.3964960563899
92,191,SDSSp J125453.90-012247.4Â [de],38.0,0.04486563599999999,0.10070774,1213.291366504429
93,192,Kelu-1A,61.0,0.060139044,0.10070774,1626.3267253144477
94,193,Kelu-1B,61.0,0.055366104000000006,0.10070774,1497.253175686317
95,195,SDSSp J132629.82-003831.5Â [de],65.0,0.048683988,0.09968011,1343.8354958456157
96,196,SDSSp J134646.45-003150.4Â [de],48.0,0.042001872,0.09659722,1234.5718494263697
97,197,2MASS J13595510-4034582,51.0,0.060139044,0.102763,1561.9241869919963
98,198,ULAS J141623.94+134836.3,29.7,0.030546816,0.09865248,860.8488684920613
99,200,DENIS-P J142527.97-365023.4Â [de],38.0,0.020046348000000002,0.13564716,298.8070452617073
100,201,LHS 2924,38.5,0.072548688,0.10892878,1676.9544351685863
101,202,2MASS J14392837+1929150,47.0,0.068730336,0.10584589,1682.5866846122526
102,203,LSPM J1440+1339,72.0,0.087822096,0.12228797,1610.6949805497954
103,204,2MASS J14482563+1031590Â [de],47.0,0.056320692,0.10173537,1492.4542366510664
104,207,TVLM 513-46546,35.1,0.07159410000000001,0.10790115,1686.5610484742424
105,208,2MASS 1503+2525,20.7,0.042001872,0.09659722,1234.5718494263697
106,209,CFBDS J150411+102717,71.0,0.042001872,0.09659722,1234.5718494263697
107,210,2MASSW J1506544+132106Â [de],46.0,0.065866572,0.10481826,1644.2511259779164
108,211,2MASS 1507âˆ’1627,23.9,0.05727528,0.10173537,1517.750071170576
109,212,TVLM 868-110639,53.0,0.075412452,0.11098404,1679.1866817499465
110,213,2MASSW J1515008+484742Â [de],34.0,0.05441151599999999,0.10173537,1441.862567612047
111,214,2MASSI J1526140+204341Â [de],67.0,0.051547752,0.10070774,1393.9943359838123
112,215,DENIS-P J153941.96-052042.4Â [de],51.0,0.060139044,0.102763,1561.9241869919963
113,216,2MASS J15462718-3325111Â [de],37.0,0.042001872,0.09659722,1234.5718494263697
114,217,2MASSW J1552591+294849Â [de],68.0,0.02863764,0.14695109,363.7211709018244
115,218,2MASSW J1555157-095605Â [de],44.0,0.067775748,0.10584589,1659.2174251037488
116,219,2MASS J16150413+1340079Â [de],48.0,0.040092696000000004,0.09659722,1178.4549471797168
117,220,SDSSp J162414.37+002915.6Â [de],36.0,0.041047283999999996,0.09659722,1206.513398303043
118,222,2MASSW J1632291+190441Â [de],50.0,0.046774812,0.09968011,1291.1360646359838
119,223,WISEPA J164715.59+563208.2,28.0,0.039138108,0.09659722,1150.3964960563899
120,224,LSPM J1658+7027Â [de],60.0,0.06968492400000001,0.10687352,1673.3068242582378
121,226,SDSSp J175032.96+175903.9,90.0,0.04486563599999999,0.09968011,1238.4366334263516
122,227,2MASS J18283572-4849046,39.0,0.04295646,0.09762485,1236.1885136462176
123,228,LSR J1835+3259,18.5,0.07350327599999999,0.10995641,1667.410647888894
124,230,2MASS J18432213+4040209,46.0,0.09164044800000001,0.12537086,1599.082875306941
125,232,SDSS J204749.61-071818.3,65.0,0.043911048,0.09865248,1237.4702484573381
126,233,2MASSI J2057540-025230,47.0,0.06682116,0.10481826,1668.0808524413649
127,234,2MASSI J2104149-103736,62.0,0.065866572,0.10481826,1644.2511259779164
128,237,2MASS J21392676+0220226,32.1,0.043911048,0.09865248,1237.4702484573381
129,238,2MASS J21481628+4003593,26.3,0.05250234,0.10173537,1391.270898573028
130,239,2MASSW J2206450-421721,93.0,0.021000936,0.13667479,308.3463412722992
131,241,2MASSW J2224438-015852,38.0,0.058229868,0.10173537,1543.0459056900854
132,242,2MASS J22282889-4310262,35.0,0.040092696000000004,0.09659722,1178.4549471797168
133,243,2MASS J22373255+3922398,64.0,0.06968492400000001,0.10687352,1673.3068242582378
134,244,2MASSW J2244316+204343,56.0,0.011455056000000002,0.13256427,178.78094402431125
135,245,2MASS J23224684-3133231,56.0,0.022910112000000003,0.14284057,307.96477299400283
136,247,2MASS J23515044-2537367,67.0,0.084003744,0.11920508,1621.3847891693522
137,248,2MASSI J2356547-155310,74.0,0.07636704,0.11201167,1669.384557701969
